Store,Actual_Mean,Actual_Std,Actual_Min,Actual_Max,Predicted_Mean,Predicted_Std,Predicted_Min,Predicted_Max,Type,Size
1,9992.263536704413,17566.606709613585,-454.4199999999999,649770.18,9912.052524551862,15892.825965456781,-6119.584123071473,393905.3379504617,A,151315
2,8353.195144559484,15433.182163908052,-153.1200000000002,100618.04,8211.288727035258,14916.735009551147,-6451.0198173691415,89505.8249364491,A,202307
3,14845.100805666223,17457.51124597509,-138.99999999999977,226252.44,14544.134774164251,16555.532573658802,-2216.0106509573206,190847.05185962093,B,37392
4,16643.86625,23033.602452117753,-543.0,351553.98,16536.47401683074,22119.009683050823,-699.3897320534215,320779.5365440147,A,205863
5,16935.740793421493,19676.18686417301,-28.91999999999995,180250.69,16808.836383684986,18972.13568392658,-830.954918286023,168785.35044938614,B,34875
6,13176.707117814121,22084.885142754898,-379.00000000000006,290809.17,13195.361001329906,21464.325564433446,-5453.310553930117,223771.28347747255,A,202505
7,14932.717649047327,21869.92389147358,-372.8999999999999,112152.35,14774.284416816838,21104.030618987515,-5843.428143515317,115683.40578599495,B,70713
8,9035.335404749874,11954.89621772273,-73.7400000000002,166757.11,9094.292824846578,11468.547807053175,-2749.78434629209,130691.91196394835,A,155078
9,10963.092255826365,15524.783864488209,-1750.0,240758.86,10931.390998803523,14830.082842666112,-596.450282183809,224046.23882029572,B,125833
